Intel Name,Intel Source,Intel Source Link,Intel Summary,Impact,Date of Scan,Intel Push to ATS
UNC216_ Shifts_to_LOCKBIT_to_Evade_Sanctions,Mandiant,https://www.mandiant.com/resources/unc2165-shifts-to-evade-sanctions,"Mandiant has investigated multiple LOCKBIT ransomware intrusions attributed to UNC2165, a financially motivated threat cluster that shares numerous overlaps with the threat group publicly reported as ""Evil Corp.",MEDIUM,2022-06-03,Yes
POLONIUM_targeting_Israeli_organizations,Microsoft,https://www.microsoft.com/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,POLONIUM has targeted and may compromised more than 20 organizations based in Israel and one intergovernmental organization with operations in Lebanon over the past three months.,LOW,2022-06-03,Yes
Zero_Day_Exploitation_of_Atlassian_Confluence,Volexity,https://www.volexity.com/blog/2022/06/02/zero-day-exploitation-of-atlassian-confluence/ https://github.com/volexity/threat-intel/blob/main/2022/2022-06-02%20Active%20Exploitation%20Of%20Confluence%200-day/indicators/indicators.csv https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html,"Hackers are actively exploiting a new Atlassian Confluence zero-day vulnerability tracked as CVE-2022-26134 to install web shells, with no fix available at this time.",HIGH,2022-06-03,Yes
AsyncRAT_targeting_Colombian_Organisations,Jstnk,https://jstnk9.github.io/jstnk9/research/AsyncRAT-Analysis/#summary,"Researcher Jose Luis Sánchez Martínez have analysed campaigns related to AsyncRAT targeting Colombia, where there are some modifications in TTPs.",LOW,2022-06-03,Yes
Cobalt_Strike_Beacon_and_other_vulnerabilities_leveraged_to_target_Ukraine_government_bodies,CERT-UA,https://cert.gov.ua/article/40559,"CERT-UA has analysed an phishing email targeting Ukraine government bodies, it contains a file named ""changes in wages with accruals.docx"". The file contains a link to HTML external object, the execution of which, after exploiting vulnerabilities CVE-2021-40444 and CVE-2022-30190 and later damage the system with Cobalt Strike.",LOW,2022-06-03,Yes
BITB_attack_impersonating_Indian_government_website,Zscaler,https://www.zscaler.com/blogs/security-research/browser-browser-sextortion-scam-makes-victims-pay-imitating-indian-gov,Zscaler ThreatLabz team recently observed a new Browser-in-the Browser (BITB) attack impersonating an Indian government website to deliver a sextortion demand with the threat of releasing sensitive information about victims if they refuse to pay.,LOW,2022-06-02,Yes
NSIS_Installer_Malware_Included_with_Various_Malicious_Files,ASEC,https://asec.ahnlab.com/en/34955/,The ASEC analysis team recently discovered attackers distributing multiple malicious files with NSIS installers.,LOW,2022-06-02,Yes
Follina_zero-day_vulnerability_in_Microsoft_Office_getting_exploited,"ISC.SANS
Cisco Talos
Recorded Future
Fortinet","https://isc.sans.edu/forums/diary/First+Exploitation+of+Follina+Seen+in+the+Wild/28698/
https://blog.talosintelligence.com/2022/06/msdt-follina-coverage.html
https://github.com/rl0hani/Multiple-Chinese-State-sponsored-Activity-Groups-likely-exploiting-MSDT-Follina-0-Day
https://www.fortinet.com/blog/threat-research/analysis-of-follina-zero-day","A recently discovered zero-day vulnerability CVE-2022-30190 in the Microsoft Windows Support Diagnostic Tool (MSDT) made headlines over the past few days. It is also known under the name ""Follina,"" exists when MSDT is called using the URL protocol from an application, such as Microsoft Office, Microsoft Word or via an RTF file. The vulnerability has been widely exploited in the wild by threat actors and some of them have been attributed to Chinese threat actor.",HIGH,2022-06-02,Yes
Yashma_Ransomware_Report_CYFIRMA,Cyfirma,https://www.cyfirma.com/outofband/yashma-ransomware-report/,Yashma is a new ransomware seen in the wild since May 2022. This ransomware is the rebranded version of an earlier ransomware named Chaos.,MEDIUM,2022-06-02,Yes
Karakurt_Data_Extortion_Group,CISA,https://www.cisa.gov/uscert/sites/default/files/publications/AA22-152A_Karakurt_Data_Extortion_Group.pdf,"Karakurt actors have claimed to steal data and threatened to auction it off or release it to the public unless they receive payment of the demanded ransom. Known ransom demands have ranged from $25,000 to $13,000,000 in Bitcoin, with payment deadlines typically set to expire within a week of first contact with the victim.",MEDIUM,2022-06-01,Yes
EnemyBot_targeting_Content_Management_System_servers_and_Android_devices,AT&T Alien Labs,https://cybersecurity.att.com/blogs/labs-research/rapidly-evolving-iot-malware-enemybot-now-targeting-content-management-system-servers,"Researchers at AT&T Alien Labs has identified that EnemyBot is expanding its capabilities, exploiting vulnerabilities of 2022, and now targeting IoT devices, web servers, Android devices and content management system (CMS) servers.",MEDIUM,2022-05-31,Yes
APTC53_or_Gamaredon_new_DDoS_Attack_mission,360 Threat Intelligence Center,https://mp.weixin.qq.com/s/gJFSlpIlbaI11lcClNN_Xw,"360 Security Brain has detected more frequent network attacks related to the APT-C-53/Gamaredon Group. The Group began to release the open source DDoS Trojan program "" LOIC "" to carry out DDoS attacks.",MEDIUM,2022-05-31,Yes
XLoader_Botnet_new_C&C_Infrastructure,Checkpoint,https://research.checkpoint.com/2022/xloader-botnet-find-me-if-you-can/,Researchers at Checkpoint Research has identified the real C&C servers among thousands of legitimate domains used by Xloader Botnet.,MEDIUM,2022-05-31,Yes
CVE_2022_30190_Microsoft_Support_Diagnostic_Tool_(MSDT)_RCE_Vulnerability,Cyble,https://blog.cyble.com/2022/05/31/new-zero-day-exploit-spotted-in-the-wild/,"Recently, Microsoft discussed a new Zero-Day vulnerability (CVE-2022-30190) that affects Microsoft Support Diagnostic Tool (MSDT) and allows the attackers to execute arbitrary code by exploiting it. ",MEDIUM,2022-05-31,Yes
WSO2_Vulnerability_exploited_to_install_Linux_compatible_CobaltStrike_Beacons,Trend Micro,https://www.trendmicro.com/en_us/research/22/e/patch-your-wso2-cve-2022-29464-exploited-to-install-linux-compatible-cobalt-strike-beacons-other-malware.html,Researchers at TrendMicro has observed attackers are exploiting WSO2 vulnerability and intiating a outbound connection with malicious Cobalt Strike callback destination and command and control (C&C) server ipaddress.,MEDIUM,2022-05-31,Yes
XXL_Malware_distributed_through_Email,ASEC,https://asec.ahnlab.com/en/34756/,XXL Malware distributed through Email,LOW,2022-05-30,Yes
Phishing_campaign_delivering_AveMariaRAT_BitRAT_PandoraHVNC_Part_II,Fortinet,https://www.fortinet.com/blog/threat-research/phishing-campaign-delivering-fileless-malware-part-two,"Researchers at Fortinet's FortiGaurd Labs has shared part-2 of the analysis where a phishing campaign delivering three fileless malware onto a victim’s device. Once executed, Malware are able to steal sensitive information from that device. It is majorly affecting Microsoft Windows platform users.",MEDIUM,2022-05-30,Yes
Magniber_ransomware_targeting_Windows11_users,360 Total Security,https://blog.360totalsecurity.com/en/win11-users-beware-magniber-ransomware-has-been-upgraded-again-aiming-at-win11/?web_view=true,"Researchers at 360 Total Security has detected a new attack on Windows11 users, where Magniber ransomware disguised as a Windows 10 upgrade patch package and spread widely.",MEDIUM,2022-05-28,Yes
GoodWill_Ransomware,CloudSEK,https://cloudsek.com/threatintelligence/goodwill-ransomware-forces-victims-to-donate-to-the-poor-and-provides-financial-assistance-to-patients-in-need/,"Researchers at CloudSEK has analysed GoodWill ransomware group activity, which forces victims to donate to the poor and provides financial assistance to patients in need.",MEDIUM,2022-05-27,Yes
Tandem_Espionage_Campaign,Inquest,https://inquest.net/blog/2022/05/25/tandem-espionage,Researcher Dmitry Melikov at Inquest has discovered an interesting campaign distributing malicious documents. Which used the download chain as well as legitimate payload hosting services.,LOW,2022-05-27,Yes
Grandoreiro_Banking_Malware,Trustwave,https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog/grandoreiro-banking-malware-resurfaces-for-tax-season/,"Researchers from Trustwave SpiderLabs have identified Grandoreiro malware campaign targeting bank users from Brazil, Spain, and Mexico. The campaign exploits the tax season in target countries by sending out tax-themed phishing emails.",MEDIUM,2022-05-27,Yes
Analysis_of_Black_Basta_Ransomware,IBM Security X-Force,https://securityintelligence.com/posts/black-basta-ransomware-group-besting-network/,Researchers from IBM documented technical analysis of Black Basta ransomware and provided with IoC. Black Basta first appeared in April 2022.,MEDIUM,2022-05-27,Yes
Deep_Analysis_on_new_version_of_Mars_Stealer_Malware,XJunior,https://x-junior.github.io/malware%20analysis/MarsStealer/#iocs,"Security Researcher Mohamed Ashraf has analysed a new version (V8) of Mars Stealer Malware. Researchers has identified anti-analysis technique, diffrent encryption algoithm, new anti debug technique, external dlls are in one zip file",LOW,2022-05-26,Yes
"Deep_Analysis_on_new_version_of_Mars_Stealer_Malware
",XJunior,https://x-junior.github.io/malware%20analysis/MarsStealer/#iocs,"Security Researcher Mohamed Ashraf has analysed a new version (V8) of Mars Stealer Malware. Researchers has identified anti-analysis technique, diffrent encryption algoithm, new anti debug technique, external dlls are in one zip file",LOW,2022-05-26,Yes
Mirai_malware_variants_doubled_for_Intel_powered_Linux_systems,CrowdStrike,https://www.crowdstrike.com/blog/linux-mirai-malware-double-on-stronger-chips/,"Crowdstrike research said, Mirai malware variants compiled for Intel-powered Linux systems double (101%) in Q1 2022 compared to Q1 2021.",MEDIUM,2022-05-26,Yes
Threat_actors_using_Browser_automation_framework,TeamCymru,https://team-cymru.com/blog/2022/05/25/bablosoft-lowering-the-barrier-of-entry-for-malicious-actors/,Researchers from Team Cymru have noticed and alerted about a free-to-use browser automation framework that's being increasingly used by threat actors as part of their attack campaigns.,LOW,2022-05-26,Yes
TURLA_new_phishing_based_reconnaissance_campaign,Sekoia,https://blog.sekoia.io/turla-new-phishing-campaign-eastern-europe/,"Sekoia Threat & Detection Team have exposed a reconnaissance and espionage campaign from the Turla intrusion set against the Baltic Defense College, the Austrian Economic Chamber which has a role in government decision-making such as economic sanctions and NATO’s eLearning platform JDAL pointing Russian Intelligence interest for defense sector in Eastern Europe.",LOW,2022-05-26,Yes
SocGholish_Campaigns_and_Initial_Access_Kit,WalMart,https://medium.com/walmartglobaltech/socgholish-campaigns-and-initial-access-kit-4c4283fea8ee,Researchers from WalMart found that SocGholish have been one of the prominent Initial Access vector for threat actors and have also partnered with Evil Corp.,MEDIUM,2022-05-26,Yes
Unknown_APT_group_targeted_Russia_repeatedly,Malwarebytes,https://blog.malwarebytes.com/malwarebytes-news/2022/05/unknown-apt-group-has-targeted-russia-repeatedly-since-ukraine-invasion/,Researchers from MalwareBytes Threat Intelligence Team discovered campaigns by unknown threat actors targeting Russia. The APT group has launched at least four campaigns since late February.,Low,2022-05-25,Yes
Yashma_Latest_version_of_Chaos_Ransomware,BlackBerry,https://blogs.blackberry.com/en/2022/05/yashma-ransomware-tracing-the-chaos-family-tree,"BlackBerry research and intelligence team have discovered details of the latest version of the Chaos ransomware line, dubbed Yashma. Though Chaos ransomware builder has only been in the wild for a year Yashma claims to be the sixth version (v6.0) of this malware.",Medium,2022-05-25,Yes
Spoofed_Purchase_Order_drops_GuLoader_Malware,Fortinet,https://www.fortinet.com/blog/threat-research/spoofed-saudi-purchase-order-drops-guloader,"Researchers at Fortinet has analysed a phishing email purporting to be a purchase order by an oil provider in Saudi Arabia, the partial PDF file image displayed in the body of the email was actually a link to an ISO file hosted in the cloud that contained an executable for GuLoader.",MEDIUM,2022-05-25,Yes
Threat_Actor_leverage_Fake_Proof_Of_Concept_to_deliver_CobaltStrike,Cyble,https://blog.cyble.com/2022/05/20/malware-campaign-targets-infosec-community-threat-actor-uses-fake-proof-of-concept-to-deliver-cobalt-strike-beacon/,A threat actor targeted security researchers with fake Windows proof-of-concept exploits that infected devices with the Cobalt Strike backdoor.,LOW,2022-05-25,Yes
Web_Skimmers_mimicking_Google_Analytics_and_Meta_Pixel_Code,Microsoft,https://www.microsoft.com/security/blog/2022/05/23/beneath-the-surface-uncovering-the-shift-in-web-skimming/#ioc,Threat actors behind web skimming campaigns are leveraging malicious JavaScript code that mimics Google Analytics and Meta Pixel scripts in an attempt to sidestep detection.,MEDIUM,2022-05-25,Yes
New_variant_of_Nokoyawa_Ransomware,Fortinet,https://www.fortinet.com/blog/threat-research/nokoyawa-variant-catching-up,Researchers at Fortinet has discovered Nokoyawa Ransomware is a new variant of the Nemty ransomware that has been improving itself.,Medium,2022-05-25,Yes
New_pymafka_malicious_package_drops_CobaltStrike_on_macOS_Windows_Linux,Sonatype,https://blog.sonatype.com/new-pymafka-malicious-package-drops-cobalt-strike-on-macos-windows-linux,"Sonatype's automated malware detection bots have discovered malicious Python package 'pymafka' in the PyPI registry. PyMafka drops Cobalt Strike on Windows, macOS . The package, 'pymafka' may sound identical to the popular PyKafka. The package appears to typosquat a legitimate popular library PyKafka, a programmer-friendly Apache Kafka client for Python.",Low,2022-05-24,Yes
Hackers_utilize_SwissTransfer_to_deploy_Phishing_Scam,Confense,https://cofense.com/blog/hackers-utilize-swisstransfer-to-deploy-phishing-scam,"Recently the Cofense Phishing Defence Center noticed a number of emails utilising the SwissTransfer service to achieve successful phishes against recipients. An attack vector is file sharing services such as WeTransfer, Microsoft OneDrive and Dropbox have been utilized to spread files containing anything from scams to malware leading to ransomware.",Low,2022-05-24,Yes
Twisted_Panda_Espionage_Operation,Checkpoint,https://research.checkpoint.com/2022/twisted-panda-chinese-apt-espionage-operation-against-russians-state-owned-defense-institutes/,"Check Point Research team have details a targeted campaign that has been using sanctions-related baits to attack Russian defense institutes, part of the Rostec Corporation. The investigation shows that this campaign is part of a larger Chinese espionage operation that has been ongoing against Russian-related entities for several months.",Medium,2022-05-24,Yes
PDF_delivering_Snake_Keylogger_Malware,HP Wolf Security,https://threatresearch.ext.hp.com/pdf-malware-is-not-yet-dead/#,HP Wolf Security Researchers have discovered a recent malware distribution campaign using PDF attachments to smuggle malicious Word documents that infect users with malware.,Medium,2022-05-24,Yes
PDF_delivering_Snake_Keylogger_Malware,HP Wolf Security,https://threatresearch.ext.hp.com/pdf-malware-is-not-yet-dead/#,HP Wolf Security Researchers have discovered a recent malware distribution campaign using PDF attachments to smuggle malicious Word documents that infect users with malware.,Medium,2022-05-24,Yes
Vidar_Malware_distributed_through_fake_Windows11_downloads,Zscaler,https://www.zscaler.com/blogs/security-research/vidar-distributed-through-backdoored-windows-11-downloads-and-abusing,Researchers from Zscalers came across fraudulent domains masquerading as Microsoft's Windows 11 download portal which are attempting to trick users into deploying trojanized installation files to infect systems with the Vidar information stealer malware.,Low,2022-05-23,Yes
Supply_Chain_Attack_targets_GitLab_CI_Pipelines,SentinelOne,https://www.sentinelone.com/labs/cratedepression-rust-supply-chain-attack-infects-cloud-ci-pipelines-with-go-malware/,Researchers from SentinelLabs identified a software chain supply attack targeting Rust developers with malware aimed directly at infecting GitLab Continuous Integration (CI) pipelines. The campaign has been dubbed as CrateDepression.,Medium,2022-05-23,Yes
XorDdos_targeting_Linux_devices,Microsoft,https://www.microsoft.com/security/blog/2022/05/19/rise-in-xorddos-a-deeper-look-at-the-stealthy-ddos-malware-targeting-linux-devices/,Microsoft researchers saw and 254% increase in activity of a stealthy and modular malware which is used to hack into Linux devices and build a DDoS botnet. The malware is called XorDDoS.,Medium,2022-05-23,Yes
Emotet getting distributed through Link Files,ASEC,https://asec.ahnlab.com/en/34556/,ASEC researchers recently discovered Emotet getting distributed through various files including Link Files.,Low,2022-05-23,Yes
Threat_Actors_exploiting_VMware_vulnerability,CISA,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b,"CISA released an advisory to warn organizations about threat actors exploiting unpatched VMware vulnerabilities. These vulnerabilities affect certain versions of VMware Workspace ONE Access, VMware Identity Manager (vIDM), VMware vRealize Automation (vRA), VMware Cloud Foundation, and vRealize Suite Lifecycle Manager. ",Medium,2022-05-20,Yes
BumbleBee_Malware_getting_delivered_via_TransferXL_Urls,ISC.SANS,https://isc.sans.edu/diary/rss/28664,"Researchers at ISC.SANS were able to relate Bumblebee malware with EXOTIC LILY threat actor, as they saw usage of active TransferXL URLs delivering ISO files for Bumblebee malware.",Low,2022-05-20,Yes
Chinese_Threat_group_Space_Pirates_targets_Russian_Aerospace_Firms,PtSecurity,https://www.ptsecurity.com/ru-ru/research/pt-esc-threat-intelligence/space-pirates-tools-and-connections/#id5-2,Analysts at Positive Technologies came across a previously unknown Chinese hacking group known as 'Space Pirates' targets enterprises in the Russian aerospace industry with phishing emails to install novel malware on their systems. They have dubbed the threat actor Space Pirates.,Medium,2022-05-20,Yes
Lazarus_Group_Exploiting_Log4Shell_Vulnerability,Asec,https://asec.ahnlab.com/en/34461/,Researchers from ASEC discovered Lazarus group distributing NukeSped by exploiting Log4Shell vulnerability. The threat actor used the log4j vulnerability on VMware Horizon products that were not applied with the security patch. ,Medium,2022-05-20,Yes
Latest_APT_C_24_SideWinder_Rattlesnake_attack_activity,WeiXin,https://mp-weixin-qq-com.translate.goog/s/qsGxZIiTsuI7o-_XmiHLHg?_x_tr_sl=zh-CN&_x_tr_tl=en&_x_tr_hl=en,Researchers from 360 Threat Intelligence Center came across an attack activity launched by APT-C-24/Sidewinder in which the threat actor has come up with New TTP.,Medium,2022-05-20,Yes
All_about_ITG23_Crypters,Security Intelligence,https://securityintelligence.com/posts/itg23-crypters-cooperation-between-cybercriminal-groups/,"IBM X-Force researchers analyzed thirteen crypters that have all been used with malware built or operated by ITG23 internal teams or third-party distributors — including Trickbot, BazarLoader, Conti, and Colibri.",Medium,2022-05-20,Yes
VMware_Bugs_Abused_to_Deliver_Mirai,Barracuda,https://blog.barracuda.com/2022/05/17/threat-spotlight-attempts-to-exploit-new-vmware-vulnerabilities/,Researchers from Barracuda discovered that attempts were made to exploit the recent vulnerabilities CVE-2022-22954 and CVE-2022-22960. Mirai was getting delivered by abusing the VMware Bug.,Medium,2022-05-19,Yes
Threat Actors targets US Business Online Checkout Page,Palo Alto,https://www.ic3.gov/Media/News/2022/220516.pdf,"Researchers from Palo Alto Networks documented the background on Emotet, its activity since november 2021 and ending with January 2022.",Medium,2022-05-19,Yes
Emotet_The_journey,Palo Alto,https://unit42.paloaltonetworks.com/emotet-malware-summary-epoch-4-5/,"Researchers from Palo Alto Networks documented the background on Emotet, its activity since november 2021 and ending with January 2022.",Medium,2022-05-19,Yes
Wizard_Spider_Group_In_Depth_Analysis,Prodaft,https://www.prodaft.com/resource/detail/ws-wizard-spider-group-depth-analysis," Researchers from PRODAFT published the results of an investigation into Wizard Spider, believed to either be or be associated with the Grim Spider and Lunar Spider hacking groups.",Medium,2022-05-18,Yes
X_Cart_Skimmer_with_DOM_based_Obfuscation,Sucuri,https://blog.sucuri.net/2022/05/x-cart-skimmer-with-dom-based-obfuscation.html,"Security researcher from Sucuri worked on an infected X-Cart website and found two interesting credit card stealers there — one skimmer located server-side, the other client-side.",Low,2022-05-18,Yes
RansomEXX_and_its_TTPs,Trend Micro,https://www.trendmicro.com/vinfo/us/security/news/ransomware-spotlight/ransomware-spotlight-ransomexx,Researchers from TrendMicro sheds light on the Tactics and Techniques of ransomware variant called RansomEXX which have been active since 2020.,Medium,2022-05-18,Yes
Uncovering_Kingminer_Botnet_Attack,Trend Micro,https://www.trendmicro.com/en_us/research/22/e/uncovering-a-kingminer-botnet-attack-using-trend-micro-managed-x.html,Researchers from Trend Micro details about the TTPs of the Kinginer Botnet. In 2020 threat actors deployed Kingminer to target SQL servers for cryptocurrency mining.,Low,2022-05-18,Yes
Operation RestyLink targeting Japenese Firms,NTT Security,https://insight-jp.nttsecurity.com/post/102hojk/operation-restylink-apt-campaign-targeting-japanese-companies,Researchers from NTT security observed APT campaign targeting Japanese companies starting from mid of April 2022. The initial attack vector in this campaign was spear phishing email.,Medium,2022-05-18,Yes
Chaos_Ransomware_stands_with_Russia,Fortinet,https://www.fortinet.com/blog/threat-research/chaos-ransomware-variant-sides-with-russia,FortiGuard Labs came across a variant of the Chaos ransomware that appears to side with Russia. This variant of the ransomware have been leveraginhg Russia Ukraine conflict.,Medium,2022-05-18,Yes
Custom_PowerShell_RAT_targets_Germans ,MalwareBytes,https://blog.malwarebytes.com/threat-intelligence/2022/05/custom-powershell-rat-targets-germans-seeking-information-about-the-ukraine-crisis/,Researchers from MalwareBytes came across a new campaign that plays on concerns by trying to lure Germans with a promise of updates on the current threat situation in Ukraine and later infecting the victims with RAT.,Low,2022-05-17,Yes
Malicious_HTML_Help_File_Delivering_Agent_Tesla,Palo Alto,https://unit42.paloaltonetworks.com/malicious-compiled-html-help-file-agent-tesla/,Unit 42 researchers observed an attack utilizing malicious compiled HTML help files for the initial delivery. The method was used to deliver Agent Tesla.,Low,2022-05-17,Yes
Onyx_Ransomware,Cyfirma,https://www.cyfirma.com/outofband/onyx-ransomware-report/,Researchers from Cyfirma analyzed samples of a new ransomware called Onyx which was first seen in April 2022. This ransomware encrypts files and then modifies their filenames by appending the .ampkcz extension.,Low,2022-05-17,Yes
UpdateAgent_Returns_with_New_macOS_Malware_Dropper,Jamf,https://www.jamf.com/blog/updateagent-adapts-again/,Researchers from Jamf Threat Labs came across a new variant of the macOS malware tracked as UpdateAgent. The malware relies on the AWS infrastructure to host its various payloads and perform its infection status updates to the server.,Low,2022-05-17,Yes
UN_social_program_themed_online_fraud,CERT-UA,https://cert.gov.ua/article/40240,"CERT-UA researchers recently responded to discovery of fraudulent page on facebook that mimics the resource of the TV channel ""TSN"".",Medium,2022-05-17,Yes
Analysis_of_the_HUI_Loader,JPCERT,https://blogs.jpcert.or.jp/ja/2022/05/HUILoader.html,"JPCERT researchers shared their analysis of the HUI Loader which has been used by multiple attack groups since around 2015, also the malware have been used by APT10.",Low,2022-05-17,Yes
Quantum_Locker_Ransomware,Cybereason,https://www.cybereason.com/blog/cybereason-vs.-quantum-locker-ransomware,Researchers at Cybereason analyzed Quantum Locker ransomware and demonstrated its detection and prevention. The initial infection method used by the operators is infamous malware called IceID.,Medium,2022-05-16,Yes
KurayStealer_Malware,Uptycs,https://www.uptycs.com/blog/kuraystealer-a-bandit-using-discord-webhooks,Researchers at Uptycs came across a new malware builder dubbed as KurayStealer that has password stealing and screenshot capabilities.The malware harvests the passwords and screenshots and sends them to the attackers’ Discord channel via webhooks. ,Low,2022-05-16,Yes
Novel IceApple Post-Exploitation Framework,CrowdStrike,https://www.crowdstrike.com/wp-content/uploads/2022/05/crowdstrike-iceapple-a-novel-internet-information-services-post-exploitation-framework.pdf,Researchers from CrowdStrike found New ‘post-exploitation’ threat getting deployed on Microsoft Exchange servers. The threat has been dubbed as IceApple.,Low,2022-05-16,Yes
Telegram_used_to_spread_Eternity_Malware,Cyble,https://blog.cyble.com/2022/05/12/a-closer-look-at-eternity-malware/,"Researchers from Cyble came across a new malware service, dubbed the Eternity Project by the threat actors behind it, allows cybercriminals to target potential victims with a customized threat offering based on individual modules.",Low,2022-05-16,Yes
From_0_Day_to_Mirai,ISC.SANS,https://isc.sans.edu/diary/rss/28644,Researchers at ISC.SANS found attacks exploiting the recent high severity vulnerability in F5 products and were able to attribute the attacks to Mirai.,High,2022-05-16,Yes
APT29_Abusing_Legitimate_Software_For_Targeted_Operations_In_Europe,Cluster25,https://cluster25.io/2022/05/13/cozy-smuggled-into-the-box/,Cluster25 researchers analyzed several spear-phishing campaigns linked to APT29 that involve the usage of a side-loaded DLL through signed software (like Adobe suite) and legitimate webservices (like Dropbox) as communication vector for Command and Control (C&C).,Medium,2022-05-16,Yes
UAC_0010_Armageddon_leveraging_GammaLoad_PS1_v2_malware,CERT-UA,https://cert.gov.ua/article/40240,"CERT-UA has analysed a phishing campaign with a subject as ""On revenge in Kherson!"" and containing an attachment in the form of a file ""Plan Kherson.htm"". The campaign is using a malicious program GammaLoad.PS1_v2 and attributed to a group called UAC-0010 (Armageddon).",Medium,2022-05-13,Yes
Iranian_threat_actor_COBALT_MIRAGE_conducting_Ransomware_operations_in_US,SecureWorks,https://www.secureworks.com/blog/cobalt-mirage-conducts-ransomware-operations-in-us,SecureWorks Counter Threat Unit has analysed REvil ransomware samples and this has resumed operations of GOLD SOUTHFIELD. The identification of multiple samples containing different modifications and the lack of an official new version indicate that REvil is under active development.,Medium,2022-05-13,Yes
Phishing_campaign_delivering_AveMariaRAT_BitRAT_PandoraHVNC,Fortinet,https://www.fortinet.com/blog/threat-research/phishing-campaign-delivering-fileless-malware,"Researchers at Fortinet's FortiGaurd Labs has analysed a phishing campaign that was delivering three fileless malware onto a victim’s device. Once executed, Malware are able to steal sensitive information from that device. It is majorly affecting Microsoft Windows platform users.",Low,2022-05-13,Yes
APT34_targets_Jordan_Government_using_new_Saitama_backdoor,MalwareBytes,https://blog.malwarebytes.com/threat-intelligence/2022/05/apt34-targets-jordan-government-using-new-saitama-backdoor/,Researchers at Malwarebytes have discovered a malicious email targeting a government official at Jordan’s foreign ministry and researchers identified a suspicious message on April 26. It contained a malicious Excel document that delivered Saitama - a new hacking tool used to provide a backdoor into systems. Malwarebytes attributed the email to a threat group commonly known as APT34.,Medium,2022-05-13,Yes
RedLine_Stealer_Campaign_spread_via_Github_hosted_payload,NetSkope,https://www.netskope.com/blog/redline-stealer-campaign-using-binance-mystery-box-videos-to-spread-github-hosted-payload,"Researchers at NetSpoke Threat Labs has discovered a new RedLine Stealer campaign spread on YouTube, using a fake bot to buy Mystery Box NFT from Binance. The video description leads the victim to download the fake bot which is hosted on GitHub.",Medium,2022-05-13,Yes
Bitter APT expands its target list,Cisco Talos,https://blog.talosintelligence.com/2022/05/bitter-apt-adds-bangladesh-to-their.html,"An espionage-focused threat actor(Bitter APT) known for targeting China, Pakistan, and Saudi Arabia has included Bangladeshi government organizations as part of an ongoing campaign.",Medium,2022-05-12,Yes
TA578_distributing_Bumblebee_malware,ISC.SANS,https://isc.sans.edu/diary/rss/28636,Researchers at ISC.SANS has analysed a campaign where threat actor TA578 leveraging thread-hijacked emails to push ISO files for Bumblebee malware. These threat-hijacked emails either have links to storage.googleapis.com URLs similar to those used in the Contact Forms campaign.,Medium,2022-05-12,Yes
Critical_F5_BIG_IP_Vulnerability_New_IoCs,Palo Alto,https://unit42.paloaltonetworks.com/cve-2022-1388/,Researchers from PaloAlto have also released few indicators of compromise and their view on Critical F5 BIG-IP Vulnerability.,High,2022-05-12,Yes
Nerbian_RAT_targeting_firms_in_Italy_Spain_and_UK,Proofpoint,https://www.proofpoint.com/us/blog/threat-insight/nerbian-rat-using-covid-19-themes-features-sophisticated-evasion-techniques,"Proofpoint researchers found previously undocumented remote access trojan (RAT) called Nerbian RAT written in the Go programming language has been spotted disproportionately targeting entities in Italy, Spain, and the U.K.",Low,2022-05-12,Yes
Malicious_NPM_Packages_targets_German_Companies,JFrog,https://jfrog.com/blog/npm-supply-chain-attack-targets-german-based-companies/,Researchers from Jfrog have discovered a number of malicious packages in the NPM registry specifically targeting a number of prominent companies based in Germany to carry out supply chain attacks.,Low,2022-05-12,Yes
Examining_BlackBasta_ransomware,Trend Micro,https://www.trendmicro.com/en_us/research/22/e/examining-the-black-basta-ransomwares-infection-routine.html,TrendMicro researchers have examined the whole infection routine of Black Basta ransomware and its infection tactics.,Medium,2022-05-11,Yes
New_Wave_of_Ursnif_Malware,Qualys,https://blog.qualys.com/vulnerabilities-threat-research/2022/05/08/ursnif-malware-banks-on-news-events-for-phishing-attacks,Researchers at Qualys has discovered and analysed few phishing emails with a macro embedded XLS attachment or a zip attachment containing an HTA file initiated the infection chain. This targeted attack researchers attributed to Ursnif malware which is one of the most widespread banking trojans.,High,2022-05-11,Yes
Different_elements_of_Cobalt_Strike,Palo Alto,https://unit42.paloaltonetworks.com/cobalt-strike-metadata-encoding-decoding/#Indicators-of-Compromise,"Palo Alto Unit42 researchers has analysed Cobalt Strike tool and gone through the encoding algorithm, describe definitions and differences of encoding types used in the Cobalt Strike framework, and cover some malicious attacks seen in the wild.",Medium,2022-05-11,Yes
REvil_returns_reemergening_GOLD_SOUTHFIELD,SecureWorks,https://www.secureworks.com/blog/revil-development-adds-confidence-about-gold-southfield-reemergence,SecureWorks Counter Threat Unit has analysed REvil ransomware samples and this has resumed operations of GOLD SOUTHFIELD. The identification of multiple samples containing different modifications and the lack of an official new version indicate that REvil is under active development.,High,2022-05-11,Yes
